ECR,Player,Tipoff (ET),Opponent,Today,Yesterday,Difference,Name,Team,Pos,Key,Price,run_ts
276,Jordan Goodwin (WAS - PG),8:00PM,@SAS,"$4,000",-,-,Jordan Goodwin,WAS,PG,Jordan Goodwin-WAS,4000,2023-01-30 15:57:09.660005
-,Khem Birch (TOR - C/PF),9:00PM,@PHO,"$3,500",-,-,Khem Birch,TOR,C/PF,Khem Birch-TOR,3500,2023-01-30 15:57:09.660005
-,Jeff Dowtin Jr. (TOR - PG),9:00PM,@PHO,"$3,500",-,-,Jeff Dowtin,TOR,PG,Jeff Dowtin-TOR,3500,2023-01-30 15:57:09.660005
-,Dru Smith (BKN - SG),7:30PM,LAL,"$3,500",-,-,Dru Smith,BKN,SG,Dru Smith-BKN,3500,2023-01-30 15:57:09.660005
-,David Duke Jr. (BKN - SG),7:30PM,LAL,"$3,500",-,-,David Duke,BKN,SG,David Duke-BKN,3500,2023-01-30 15:57:09.660005
250,Dwight Powell (DAL - C/PF),8:30PM,DET,"$5,000",-,-,Dwight Powell,DAL,C/PF,Dwight Powell-DAL,5000,2023-01-30 15:57:09.660005
171,Josh Richardson (SAS - SF/SG),8:00PM,WAS,"$5,600",-,-,Josh Richardson,SAS,SF/SG,Josh Richardson-SAS,5600,2023-01-30 15:57:09.660005
-,Matt Ryan (MIN - SF),8:00PM,SAC,"$3,500",-,-,Matt Ryan,MIN,SF,Matt Ryan-MIN,3500,2023-01-30 15:57:09.660005
191,Joe Harris (BKN - SG/SF),7:30PM,LAL,"$4,300",-,-,Joe Harris,BKN,SG/SF,Joe Harris-BKN,4300,2023-01-30 15:57:09.660005
133,Dorian Finney-Smith (DAL - SF/PF),8:30PM,DET,"$5,300",-,-,Dorian Finney-Smith,DAL,SF/PF,Dorian Finney-Smith-DAL,5300,2023-01-30 15:57:09.660005
244,Terrence Ross (ORL - SG/SF),7:00PM,@PHI,"$3,900",-,-,Terrence Ross,ORL,SG/SF,Terrence Ross-ORL,3900,2023-01-30 15:57:09.660005
-,Frank Kaminsky III (ATL - PF/C),10:00PM,@POR,"$3,800",-,-,Frank Kaminsky,ATL,PF/C,Frank Kaminsky-ATL,3800,2023-01-30 15:57:09.660005
-,Lindy Waters III (OKC - SG),8:00PM,GSW,"$3,700",-,-,Lindy Waters,OKC,SG,Lindy Waters-OKC,3700,2023-01-30 15:57:09.660005
269,Justin Holiday (ATL - SF/SG),10:00PM,@POR,"$3,500",-,-,Justin Holiday,ATL,SF/SG,Justin Holiday-ATL,3500,2023-01-30 15:57:09.660005
-,Ron Harper Jr. (TOR - SF),9:00PM,@PHO,"$3,500",-,-,Ron Harper,TOR,SF,Ron Harper-TOR,3500,2023-01-30 15:57:09.660005
-,Scotty Pippen Jr. (LAL - PG),7:30PM,@BKN,"$3,500",-,-,Scotty Pippen,LAL,PG,Scotty Pippen-LAL,3500,2023-01-30 15:57:09.660005
